ID_cliente,Recencia,Frequencia,Valor,R_quartil,F_quartil,V_quartil,RFV_Score,acoes de marketing/crm
12747,2,11,4196.01,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12748,0,178,31533.04,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12749,3,5,4090.88,A,B,A,ABA,
12820,3,4,942.34,A,B,B,ABB,
12821,214,1,92.72,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
12822,70,2,948.88,C,C,B,CCB,
12823,74,5,1759.5,C,B,A,CBA,
12824,59,1,397.12,C,D,C,CDC,
12826,2,7,1474.72,A,A,B,AAB,
12827,5,3,430.15,A,B,C,ABC,
12828,2,6,1018.71,A,A,B,AAB,
12829,336,2,293.0,D,C,D,DCD,
12830,37,5,4592.8,B,B,A,BBA,
12831,262,1,215.05,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
12832,32,2,383.03000000000003,B,C,C,BCC,
12833,145,1,417.38,D,D,C,DDC,
12834,282,1,312.38,D,D,C,DDC,
12836,59,5,2612.86,C,B,A,CBA,
12837,173,1,134.1,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
12838,33,2,683.1300000000001,B,C,B,BCB,
12839,2,14,5591.42,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12840,143,4,2726.77,C,B,A,CBA,
12841,4,24,4017.35,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12842,70,2,1118.99,C,C,B,CCB,
12843,159,7,1692.31,D,A,A,DAA,"Churn! clientes que gastaram bastante e fizeram muitas compras, enviar cupons de desconto para tentar recuperar"
12844,29,2,325.96000000000004,B,C,C,BCC,
12845,267,3,347.39,D,B,C,DBC,
12847,22,1,871.54,B,D,B,BDB,
12849,31,2,1050.8899999999999,B,C,B,BCB,
12851,96,1,135.18,C,D,D,CDD,
12852,294,1,311.55,D,D,C,DDC,
12853,134,6,1957.1,C,A,A,CAA,"Churn! clientes que gastaram bastante e fizeram muitas compras, enviar cupons de desconto para tentar recuperar"
12854,78,3,1324.5,C,B,B,CBB,
12855,372,1,38.1,D,D,D,DDD,"Churn! clientes que gastaram bem pouco e fizeram poucas compras, fazer nada"
12856,7,6,2179.93,A,A,A,AAA,"Enviar cupons de desconto, Pedir para indicar nosso produto pra algum amigo, Ao lançar um novo produto enviar amostras grátis pra esses."
12857,210,2,1106.4,D,C,B,DCB,
12863,52,1,521.2,C,D,C,CDC,
12864,138,1,147.12,C,D,D,CDD,
12867,26,7,4036.82,B,A,A,BAA,
12868,185,6,1607.06,D,A,A,DAA,"Churn! clientes que gastaram bastante e fizeram muitas compras, enviar cupons de desconto para tentar recuperar"
12871,84,2,380.64,C,C,C,CCC,
12872,326,2,599.97,D,C,C,DCC,
12873,282,1,374.0,D,D,C,DDC,
12875,143,2,343.2300000000001,C,C,C,CCC,
